,Chiasmocleis_albopunctata,Dendropsophus_elianae,Dendropsophus_jimi,Dendropsophus_nanus,Dendropsophus_minutus,Dendropsophus_sanborni,Elachistocleis_cesari,Hypsiboas_albopunctatus,Hypsiboas_faber,Hypsiboas_lundii,Hypsiboas_prasinus,Itapotihyla_langsdorffii,Leptodactylus_fuscus,Leptodactylus_latrans,Leptodactylus_mystaceus,Leptodactylus_mystacinus,Physalaemus_centralis,Physalaemus_cuvieri,Physalaemus_marmoratus,Physalaemus_nattereri,Pseudis_paradoxa,Rhinella_ornata,Rhinella_schneideri,Scinax_fuscomarginatus,Scinax_fuscovarius,Scinax_similis,Trachycephalus_typhonius,GRUPOS
Araras,6,0,0,0,1,0,1,0,0,0,0,0,32,1,27,48,0,13,0,5,0,4,4,0,13,0,1,CAMPO
Artur Nogueira,0,0,0,0,6,0,2,26,0,0,0,13,15,0,1,1,0,19,0,22,0,23,0,0,11,0,0,CAMPO
Conchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,1,1,0,0,0,0,CAMPO
Engenheiro Coelho,1,0,0,0,2,0,0,0,0,2,0,0,33,0,0,4,0,2,1,16,0,15,0,0,11,0,0,CAMPO
Jaguariúna,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,28,0,19,0,8,0,0,0,0,0,CAMPO
Limeira,0,11,15,0,15,0,0,10,3,0,3,0,31,0,0,16,0,24,1,18,0,21,5,0,1,0,1,CAMPO
ZUEC,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,10,2,0,0,2,0,0,8,3,4,0,COLECAO
DZSJRP ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COLECAO
IBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,COLECAO
